Air Bike,BODYWEIGHT,ABS,NONE,Start lying on your back with your legs fully extended. Lean your upper body forward to get your shoulders off the ground and put your hands behind your head. Lift your heels off the ground. This is your starting position. To perform one air bike rep bring your left knee towards your chest and rotate your torso to touch your right elbow to your left knee. Then straighten your left leg and bring your right knee to your chest and touch it with your left elbow. This completes one repetition.,Go slower to increase intensity of the workout.
Leg Raise,BODYWEIGHT,ABS,NONE,Start lying on your back with your legs fully extended with your toes pointed and your hands on the ground at your sides. Keeping your feet together raise both legs towards the ceiling by tighting your abs. Hold for a two count and then slowly lower your legs to the start position.,This exercise works the lower abs which can be hard to target. If you can't keep your legs straight due to limited flexibility keep them as straight as you can.
Crunches,BODYWEIGHT,ABS,NONE,Start by placing your hands on either side of your head while lying on your back with your legs extended. Bring your knees towards your chest until your thighs are vertical. This is your start position. Slowly raise your shoulders and chest towards your knees. Hold for a second and then slowly lower your chest and shoulders back to the ground. This is one rep.,Keep your lower back on the floor as you do this exercise. 
Plank,BODYWEIGHT,ABS,BACK,Start kneeling on all fours. Lower yourself to rest on your elbows with your elbows directly below your shoulders. Extend your feet out behind you so you are now resting on your toes and your elbows. Keep your back straight and tense your core muscles. Hold this position for 30 seconds.,Make sure you don't bend at the weight. Your body should be a straight line from feet to shoulders.
Side Bridge,BODYWEIGHT,ABS,NONE,Start lying on your side with your legs fully extended. Raise yourself off the ground so you are resting on your forearm. Now tighten your abs to straighten your body so you are only touching the ground at the side of your foot and your forearm. Repeat for the other side.,Make sure you don't bend at the weight. Your body should be a straight line from feet to shoulders.
Bent Knee Hip Raise,BODYWEIGHT,ABS,GLUTES,Start lying on your back with your hands at your sides. Bend your knees to a 60 degree angle and hold your feet slightly off the floor. While keeping your arms and back on the floor raise your hips to bring your knees to your chest. Hold the position for a second and tighten your abs. Slowly lower your hips to return to the starting position.,Remember to pace yourself.
Barbell Bent Over Row,BARBELL,BACK,BICEPS,Stand in front of the barbell with your feet a shoulder width apart. Bend at the hips keeping your back straight. Keep a bend in your knees so you can reach the bar. Pick up the bar with a shoulder-width grip and lift it just off the ground. This is your starting position. Lift the bar towards your chest in a controlled mtion until the bar is almost touching your chest while squeezing your back muscles. Slowly lower the bar back to the starting position. ,Keep your back straight and your shoulders back. Avoid the inclination to round your shoulders. Keep your head up looking forward instead of down at the ground or the bar.
Barbell Deadlift,BARBELL,BACK,UPPERLEG,Stand in front of the barbell with your feet a shoulder width apart. Bend at the hips keeping your back straight. Bend at the knees to reach the bar. Your arms should be perfectly vertical. Pick up the bar driving with your legs as you straighten your torso so you are standing up straight. Your weight should be driving through your heels not your toes. Bend back at the knees and hips to lower the barbell back to the starting position.,Keep your back straight and your shoulders back. Avoid the inclination to round your shoulders. Keep your head up looking forward instead of down at the ground or the bar. Note that many gyms have special rubberized weights for doing deadlifts (the TAMU rec center does) so dropped weights don't damage the floor. Make sure you are using the right barbell station for doing deadlifts.
Dumbbell One Arm Row,DUMBBELL,BACK,BICEPS,You need a bench for this exercise. Start kneeling halfway on the bench with your left knee on the bench and the left hand on the bench while your right foot is on the floor. Reach down and pick up the dumbbell with your right hand leaving your right arm straight. Keep your back straight and shoulders horizontal. This is your start position. Pull the dumbbell slowly towards your side at stomach level then slowly straighten your arm. This is one rep. Do this exercise for both arms.,The eccentric motion (lowering your arm) is just as important as the concentric motion (raising your arm) so keep the lowering motion slow and controlled. Make sure you are using your back to pull the weight up with your shoulder as well as using your bicep.
Dumbbell Deadlift,DUMBBELL,BACK,UPPERLEG,Stand in front of the dumbbells with your feet a shoulder width apart. Bend at the hips keeping your back straight. Bend at the knees to reach the dumbbells. Your arms should be perfectly vertical. Pick up the dumbbells driving with your legs as you straighten your torso so you are standing up straight. Your weight should be driving through your heels not your toes. Bend back at the knees and hips to lower the dumbbells back to the starting position.,Remember to pace yourself.
Cable Seated Row,CABLE,BACK,BICEPS,Start seated in front of the low pulley with your feet against the footrests. You may have to switch the handle to the double metal grip handle. A rack of handles should be near the machine. Keep your back straight and upright with your shoulders straight. Lean forward and grab the handle and then return to your upright position with your arms extended. This is your start position. Now bring your hands towards your belly button. When your hands reach your stomach slowly return to the start position.,Keep your back straight and make sure you are pulling back with your shoulders as well as your arms. If you are bending forward or your shoulders are rounding forward reduce the weight.
Close Grip Front Lat Pulldown,CABLE,BACK,BICEPS,Start seated at the pulldown station with your knees underneath the padding of the knee crossbar. You may have to switch the handle to the long metal bar. A rack of handles should be near the machine. Reach up and grasp the bar with both hands with your hands about shoulder-width apart and your palms facing away from you. If you're shorter you may have to stand up briefly to reach the bar. Return to the seated position with your hands above your head. This is your starting position. Pull the bar down until it is even with your heart then slowly return to the starting position. ,Make sure you are keeping your elbows close you your body instead of sticknig them out like chicken wings.
Iso-Lateral Front Lat Pulldown,HAMMERSTRENGTH,BACK,BICEPS,Start with your feet flat on the floor seated at the machine with your knees under the padded knee bar. Reach up and grab both handles with your palms facing away from your body. This is the start position. Slowly pull the weights down bringing elbows towards your sides. Slowly return to the start position.,Remember to pace yourself.
Iso-Lateral High Row,HAMMERSTRENGTH,BACK,BICEPS,Start with your feet flat on the floor seated at the machine with your knees under the padded knee bar. Reach up and grab both handles with your palms facing away from your body. This is the start position. Slowly pull the weights down bringing elbows towards your sides. Slowly return to the start position.,Remember to pace yourself.
